artist,id,genre
Mithoon,09UmIX92EUH9hAK4bxvHx6,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
Sanam,7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']"
"Sippy Gill, Desi Roots",3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']"
Lauv,5JZ7CnR6gTvEMKX4g70Amv,['pop']
The PropheC,4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']"
The Vamps,7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
PUBLIC,4vxaQs6vK54nK89J1VtLex,['indie rockism']
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']"
Harrdy Sandhu,4ITkqBlf5eoVCOFwsJCnqo,"['desi pop', 'punjabi pop']"
GKhan,3fxBst8oqDfPvHHrd9wEse,"['desi pop', 'punjabi pop']"
Acoustic Brar,6TGg9uXF6VXPw8k2DnMQik,[]
AP Dhillon,6LEG9Ld1aLImEFEVHdWNSB,"['punjabi hip hop', 'punjabi pop']"
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']"
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'rock']"
DJ Snake,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
Sia,5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'dance pop', 'pop']"
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']"
Calvin Harris,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
Pink Sweat$,1W7FNibLa0O0b572tB2w7t,"['bedroom soul', 'chill r&b', 'pop']"
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Jaymes Young,6QrQ7OrISRYIfS5mtacaw2,"['modern rock', 'pop']"
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']"
Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop']
347aidan,0bBz5bRBkExaej2HxtVfCw,['sad rap']
DHARIA,1psakk7GVUl85AnTEvwtk2,[]
Witt Lowry,5ghnxpW47ojtLHHyTLdxdY,['pop rap']
Russ,1z7b1Pr1rSlvWRzsW3HOrS,"['hawaiian hip hop', 'rap']"
Gurnazar,682M6cmwGHOyAB1ZmPv38W,"['desi pop', 'punjabi pop']"
Prabh Gill,4F5ZNBJDep3GTrMip2tpI4,"['desi hip hop', 'desi pop', 'punjabi pop']"
B Praak,56SjZARoEvag3RoKWIb16j,"['desi pop', 'punjabi pop']"
Akhil,6zZrFenNe3YPttxZsnQQs1,"['desi hip hop', 'desi pop', 'punjabi pop']"
Mehmood J,4dDplWRph6eniqpE1VIwYF,[]
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'viral pop']"
Johnny Orlando,6aX6KqXgEcARRHwvWxHcFW,"['canadian pop', 'pop']"
Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'rap']"
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,"['dance pop', 'pop', 'post-teen pop']"
Abhijeet,2ZRrPOjBIWoKK5rHedLijj,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']"
Alka Yagnik,3gBKY0y3dFFVRqicLnVZYz,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']"
Lata Mangeshkar,61JrslREXq98hurYL2hYoc,"['classic bollywood', 'desi pop', 'filmi', 'lata']"
Yasser Desai,6RF8hEdlUKoLPQOHmBbHiM,"['desi pop', 'filmi', 'modern bollywood']"
Kailash Kher,4oVMLzAqW6qhRpZWt8fNw4,"['desi hip hop', 'desi pop', 'filmi', 'indian folk', 'modern bollywood', 'sufi']"
Atif Aslam,2oSONSC9zQ4UonDKnLqksx,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
Pritam,1wRPtKGflJrBx9BmLsSwlU,"['filmi', 'indian instrumental', 'modern bollywood']"
Adele,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']"
Babbal Rai,5LFXPuKD97Sp9qdkxYBfDn,"['desi pop', 'punjabi pop']"
