id,genre,language,artistName
09UmIX92EUH9hAK4bxvHx6,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",Hindi,Mithoon
7o7doCwqft91WC690aglWC,"['desi pop', 'modern bollywood']",Hindi,Sanam
3YoYru7MdcyhImg7mUHFic,"['desi pop', 'punjabi pop']",Punjabi,"Sippy Gill, Desi Roots"
5JZ7CnR6gTvEMKX4g70Amv,['pop'],English,Lauv
4aopF0aU0Nbu5GtSorXV0W,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi,The PropheC
7gAppWoH7pcYmphCVTXkzs,"['boy band', 'dance pop', 'pop', 'post-teen pop']",English,The Vamps
4vxaQs6vK54nK89J1VtLex,['indie rockism'],English,PUBLIC
6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",English,Ed Sheeran
4ITkqBlf5eoVCOFwsJCnqo,"['desi pop', 'punjabi pop']",Punjabi,Harrdy Sandhu
3fxBst8oqDfPvHHrd9wEse,"['desi pop', 'punjabi pop']",Punjabi,GKhan
6TGg9uXF6VXPw8k2DnMQik,[],,Acoustic Brar
6LEG9Ld1aLImEFEVHdWNSB,"['punjabi hip hop', 'punjabi pop']",Punjabi,AP Dhillon
0X2BH1fck6amBIoJhDVmmJ,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",English,Ellie Goulding
53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'rock']",English,Imagine Dragons
540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",English,DJ Snake
7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'viral pop']",English,Shawn Mendes
5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'dance pop', 'pop']",English,Sia
4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",English,Coldplay
7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",English,Calvin Harris
1W7FNibLa0O0b572tB2w7t,"['bedroom soul', 'chill r&b', 'pop']",English,Pink Sweat$
69GGBxA162lTqCwzJG5jLp,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",English,The Chainsmokers
64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",English,Marshmello
6QrQ7OrISRYIfS5mtacaw2,"['modern rock', 'pop']",English,Jaymes Young
1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",English,Justin Bieber
04gDigrS5kc9YWfZHwBETP,['pop'],English,Maroon 5
0bBz5bRBkExaej2HxtVfCw,['sad rap'],English,347aidan
1psakk7GVUl85AnTEvwtk2,[],,DHARIA
5ghnxpW47ojtLHHyTLdxdY,['pop rap'],English,Witt Lowry
1z7b1Pr1rSlvWRzsW3HOrS,"['hawaiian hip hop', 'rap']",English,Russ
682M6cmwGHOyAB1ZmPv38W,"['desi pop', 'punjabi pop']",Punjabi,Gurnazar
4F5ZNBJDep3GTrMip2tpI4,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi,Prabh Gill
56SjZARoEvag3RoKWIb16j,"['desi pop', 'punjabi pop']",Punjabi,B Praak
6zZrFenNe3YPttxZsnQQs1,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi,Akhil
4dDplWRph6eniqpE1VIwYF,[],,Mehmood J
6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'viral pop']",English,Charlie Puth
6aX6KqXgEcARRHwvWxHcFW,"['canadian pop', 'pop']",English,Johnny Orlando
1QRj3hoop9Mv5VvHQkwPEp,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'rap']",English,Olivia O'Brien
5p7f24Rk5HkUZsaS3BLG5F,"['dance pop', 'pop', 'post-teen pop']",English,Hailee Steinfeld
2ZRrPOjBIWoKK5rHedLijj,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",Hindi,Abhijeet
3gBKY0y3dFFVRqicLnVZYz,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",Hindi,Alka Yagnik
61JrslREXq98hurYL2hYoc,"['classic bollywood', 'desi pop', 'filmi', 'lata']",Hindi,Lata Mangeshkar
6RF8hEdlUKoLPQOHmBbHiM,"['desi pop', 'filmi', 'modern bollywood']",Hindi,Yasser Desai
4oVMLzAqW6qhRpZWt8fNw4,"['desi hip hop', 'desi pop', 'filmi', 'indian folk', 'modern bollywood', 'sufi']",Hindi,Kailash Kher
2oSONSC9zQ4UonDKnLqksx,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",Hindi,Atif Aslam
1wRPtKGflJrBx9BmLsSwlU,"['filmi', 'indian instrumental', 'modern bollywood']",Hindi,Pritam
4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']",English,Adele
5LFXPuKD97Sp9qdkxYBfDn,"['desi pop', 'punjabi pop']",Punjabi,Babbal Rai
3jsyANBBy6gOZUSQhiGclx,['comic'],English,Ninja
6IP4VnqS1pOiQcPVP4zx0H,"['desi pop', 'punjabi pop']",Punjabi,Prem Dhillon
6w2tW2P6MoEdHEFAGUqrMa,[],,Aatish
4eB5clMaoi0cCRnCwLkkiS,"['desi pop', 'punjabi pop']",Punjabi,Harnoor
3796Al8KerYiCPaOK1vHZJ,"['desi pop', 'punjabi pop']",Punjabi,Sucha Yaar
2daDqAvmOL9Uxwv0cGvLXv,"['desi pop', 'punjabi pop']",Punjabi,Harman Hundal
78sIlhMniFgXlOrNWnPtIl,"['desi pop', 'punjabi pop']",Punjabi,Tegi Pannu
7gOZcXPfLtLbFgUyHGV7cZ,[],,Shipra Goyal
7GgAwYJnBBFT1WogNWf0oj,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi,Amrit Maan
4f7KfxeHq9BiylGmyXepGt,"['desi pop', 'modern bollywood']",Hindi,Tanishk Bagchi
2sN4fSzAm2rAL0HIurPCEM,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi,Maninder Buttar
1sVmXkzX2ukc6QvasrDBES,"['desi pop', 'filmi', 'modern bollywood']",Hindi,Asees Kaur
7dcWg5dXOShjR4ACNd6kVc,[],,Mission ISRO with Harsha Bhogle
7M3xY5iHSzEtoL3FpqOD75,"['desi pop', 'punjabi pop']",Punjabi,Garry Sandhu
3dQMGfODIABnUy8kNFXBim,['slowed and reverb'],English,Reggie Mills
424s65ZBz4Alruua67iFmO,[],,Romaana
7KEQQy9VJpx2xaojUu2VTp,"['desi hip hop', 'desi pop', 'punjabi pop']",Punjabi,The Landers
1UAzmnFgjizIDvtHvnCdEq,"['desi pop', 'modern bollywood']",Hindi,Stebin Ben
2kWeFaiHBskk8oqky3KHcR,"['alternative country', 'new americana', 'outlaw country']",English,Nikk
0j2LQCxHNcJdkuJRa8KEp5,"['desi pop', 'punjabi pop']",Punjabi,Pav Dharia
0ea0y5ZxnN5TbEDzNtx5Fk,"['desi pop', 'punjabi pop']",Punjabi,Nimrat Khaira
5DHi2MeoRgAwPE0A0qwRMl,['punjabi hip hop'],Punjabi,Guri
6q71Xu33Q9DBhLFSUCLMUM,"['desi pop', 'punjabi pop']",Punjabi,Happy Raikoti
7hHDO4bJGlEaEHlY2lj1eZ,"['desi hip hop', 'desi pop', 'pakistani pop', 'punjabi pop']",Punjabi,Bilal Saeed
1r8t9QJtZZL9OsSCG2qij9,[],,Preetinder
3TOhzLRYnkkul71yRBxIoM,"['desi pop', 'modern bollywood']",Hindi,Akhil Sachdeva
2RlWC7XKizSOsZ8F3uGi59,"['desi pop', 'punjabi pop']",Punjabi,Ammy Virk
1yzgJmZf5CxtFfGfRFm4Si,"['desi pop', 'filmi', 'modern bollywood']",Hindi,Gajendra Verma
5wJ1H6ud777odtZl5gG507,"['desi pop', 'modern bollywood']",Hindi,Vishal Mishra
3mnR9SJ3hfV6EcrGKH44H9,"['desi pop', 'punjabi pop']",Punjabi,Karan Randhawa
